image,Categorie_1,Categorie_2,product_url,product_name_cleaned,product_name_cleaned_lemma,product_name_cleaned_stemed,Categorie_1_cleaned,Categorie_1_cleaned_lemma,Categorie_1_cleaned_stemed,Categorie_2_cleaned,Categorie_2_cleaned_lemma,Categorie_2_cleaned_stemed,brand_cleaned,brand_cleaned_lemma,brand_cleaned_stemed,description_cleaned,description_cleaned_lemma,description_cleaned_stemed,product_specifications_cleaned,product_specifications_cleaned_lemma,product_specifications_cleaned_stemed
55b85ea15a1536d46b7190ad6fff8ce7.jpg,Home Furnishing,Curtains & Accessories,http://www.flipkart.com/elegance-polyester-multicolor-abstract-eyelet-door-curtain/p/itmeg7bkzdgthcts?pid=CRNEG7BKMFFYHQ8Z, elegance   polyester   multicolor   abstract   eyelet   door   curtain ,elegance polyester multicolor abstract eyelet door curtain,eleg polyest multicolor abstract eyelet door curtain, home   furnishing ,home furnishing,home furnish, curtains     accessories ,curtain accessory,curtain accessori, elegance ,elegance,eleg, key         elegance   polyester   multicolor   abstract   eyelet   door   curtain   floral   curtain elegance   polyester   multicolor   abstract   eyelet   door   curtain               height     pack                             curtain   enhances      look         interiors    curtain      made            high   quality   polyester   fabric          eyelet   style         metal   ring    makes      room   environment             curtain      ant           anti   shrinkage         elegant    give      home      bright         appeal         designs           attention      sure                 contemporary   eyelet         curtains                  draw      apart   first            morning            bright   sun   rays      want      wish   good   morning         whole   world            draw               evening        create         special            beauty               prints     bring   home      elegant   curtain            light         room            get      right   amount                   elegance   polyester   multicolor   abstract   eyelet   door   curtain               height     pack            general   brand   elegance   designed      door   type   eyelet   model   name   abstract   polyester   door   curtain   set          model   id         multicolor   dimensions   length                box   number      contents      sales   package   pack          sales   package       curtains   body     design   material   polyester ,key elegance polyester multicolor abstract eyelet door curtain floral curtain elegance polyester multicolor abstract eyelet door curtain height pack curtain enhances look interior curtain made high quality polyester fabric eyelet style metal ring make room environment curtain ant anti shrinkage elegant give home bright appeal design attention sure contemporary eyelet curtain draw apart first morning bright sun ray want wish good morning whole world draw evening create special beauty print bring home elegant curtain light room get right amount elegance polyester multicolor abstract eyelet door curtain height pack general brand elegance designed door type eyelet model name abstract polyester door curtain set model id multicolor dimension length box number content sale package pack sale package curtain body design material polyester,key eleg polyest multicolor abstract eyelet door curtain floral curtain eleg polyest multicolor abstract eyelet door curtain height pack curtain enhanc look interior curtain made high qualiti polyest fabric eyelet style metal ring make room environ curtain ant anti shrinkag eleg give home bright appeal design attent sure contemporari eyelet curtain draw apart first morn bright sun ray want wish good morn whole world draw even creat special beauti print bring home eleg curtain light room get right amount eleg polyest multicolor abstract eyelet door curtain height pack gener brand eleg design door type eyelet model name abstract polyest door curtain set model id multicolor dimens length box number content sale packag pack sale packag curtain bodi design materi polyest,                                                       elegance                      designed                         door                                            eyelet                         name                      abstract   polyester   door   curtain   set                                id                                                                  multicolor                      length                                                                                     pack                                                          curtains                                            polyester   ,elegance designed door eyelet name abstract polyester door curtain set id multicolor length pack curtain polyester,eleg design door eyelet name abstract polyest door curtain set id multicolor length pack curtain polyest
7b72c92c2f6c40268628ec5f14c6d590.jpg,Baby Care,Baby Bath & Skin,http://www.flipkart.com/sathiyas-cotton-bath-towel/p/itmegfzhxbyucwgn?pid=BTWEGFZHGBXPHZUH, sathiyas   cotton   bath   towel ,sathiyas cotton bath towel,sathiya cotton bath towel, baby   care ,baby care,babi care, baby   bath     skin ,baby bath skin,babi bath skin, sathiyas ,sathiyas,sathiya,          cotton   bath   towel         bath   towel     red     yellow     blue     bath   towel      machine   washable   yes   material   cotton   design   self   design   general   brand      type   bath   towel   gsm       model   name      cotton   bath   towel   ideal      men     women     boys     girls   model   id         red     yellow     blue   size      dimensions   length       inch   width       inch         box   number      contents      sales   package       sales   package       bath   towel ,cotton bath towel bath towel red yellow blue bath towel machine washable yes material cotton design self design general brand type bath towel gsm model name cotton bath towel ideal men woman boy girl model id red yellow blue size dimension length inch width inch box number content sale package sale package bath towel,cotton bath towel bath towel red yellow blue bath towel machin washabl ye materi cotton design self design gener brand type bath towel gsm model name cotton bath towel ideal men women boy girl model id red yellow blue size dimens length inch width inch box number content sale packag sale packag bath towel,                                 machine   washable                                                                  cotton                      design                      self   design                                                                                        bath   towel                      gsm                                                name                         cotton   bath   towel                                               men     women     boys     girls                         id                                                                  red     yellow     blue                      size                                            length                          inch                                                inch                                                                                                               bath   towel   ,machine washable cotton design self design bath towel gsm name cotton bath towel men woman boy girl id red yellow blue size length inch inch bath towel,machin washabl cotton design self design bath towel gsm name cotton bath towel men women boy girl id red yellow blue size length inch inch bath towel
64d5d4a258243731dc7bbb1eef49ad74.jpg,Baby Care,Baby Bath & Skin,http://www.flipkart.com/eurospa-cotton-terry-face-towel-set/p/itmeg6shbrpubhca?pid=BTWEG6SHXTDB2A2Y, eurospa   cotton   terry   face   towel   set ,eurospa cotton terry face towel set,eurospa cotton terri face towel set, baby   care ,baby care,babi care, baby   bath     skin ,baby bath skin,babi bath skin, eurospa ,eurospa,eurospa, key         eurospa   cotton   terry   face   towel   set   size     small   height         inch   gsm       eurospa   cotton   terry   face   towel   set         piece   face   towel   set     assorted                   eurospa   brings            exclusively   designed           soft   cotton   towels         quality                 soft   texture         care         skin      gives                       eurospa               bath   towels               brands      last       years         famous         fine   prints                durability     note        product            cotton                    shrinkage     product      may   vary         picture     size   may   vary             wash   care     wash      cold   water           iron           bleach     flat   dry     wash      first   use     size     face   towel         cms          cms             eurospa   cotton   terry   face   towel   set         piece   face   towel   set     assorted     bath   towel      material   cotton   terry   design      general   brand   eurospa   gsm       type   face   towel   set   model   name      ideal      boys     girls     men     women   model   id      size   small      assorted   dimensions   weight          length       inch   width       inch         box   number      contents      sales   package       sales   package       piece   face   towel   set ,key eurospa cotton terry face towel set size small height inch gsm eurospa cotton terry face towel set piece face towel set assorted eurospa brings exclusively designed soft cotton towel quality soft texture care skin give eurospa bath towel brand last year famous fine print durability note product cotton shrinkage product may vary picture size may vary wash care wash cold water iron bleach flat dry wash first use size face towel cm cm eurospa cotton terry face towel set piece face towel set assorted bath towel material cotton terry design general brand eurospa gsm type face towel set model name ideal boy girl men woman model id size small assorted dimension weight length inch width inch box number content sale package sale package piece face towel set,key eurospa cotton terri face towel set size small height inch gsm eurospa cotton terri face towel set piec face towel set assort eurospa bring exclus design soft cotton towel qualiti soft textur care skin give eurospa bath towel brand last year famou fine print durabl note product cotton shrinkag product may vari pictur size may vari wash care wash cold water iron bleach flat dri wash first use size face towel cm cm eurospa cotton terri face towel set piec face towel set assort bath towel materi cotton terri design gener brand eurospa gsm type face towel set model name ideal boy girl men women model id size small assort dimens weight length inch width inch box number content sale packag sale packag piec face towel set,                                                       cotton   terry                      design                                                                                        gsm                                                                   face   towel   set                         name                                                                     boys     girls     men     women                         id                                            size                      small                                            assorted                      weight                                                length                          inch                                                inch                                                                                                               piece   face   towel   set   ,cotton terry design gsm face towel set name boy girl men woman id size small assorted weight length inch inch piece face towel set,cotton terri design gsm face towel set name boy girl men women id size small assort weight length inch inch piec face towel set
d4684dcdc759dd9cdf41504698d737d8.jpg,Home Furnishing,Bed Linen,http://www.flipkart.com/santosh-royal-fashion-cotton-printed-king-sized-double-bedsheet/p/itmejt9uaqahahuf?pid=BDSEJT9UQWHDUBH4, santosh   royal   fashion   cotton   printed   king   sized   double   bedsheet ,santosh royal fashion cotton printed king sized double bedsheet,santosh royal fashion cotton print king size doubl bedsheet, home   furnishing ,home furnishing,home furnish, bed   linen ,bed linen,bed linen, santosh   royal   fashion ,santosh royal fashion,santosh royal fashion, key         santosh   royal   fashion   cotton   printed   king   sized   double   bedsheet   royal   bedsheet         wedding     gifting       santosh   royal   fashion   cotton   printed   king   sized   double   bedsheet         bedsheet     pillow   cover     multicolor     general   brand   santosh   royal   fashion   machine   washable   yes   type   flat   material   cotton   model   name   gold   design   royal   cotton   printed   wedding        double   bedsheet          pillow   cover   model   id           multicolor   size   king   fabric   care   machine   wash           bleach   dimensions   flat   sheet   width       inch            fitted   sheet   width          pillow   cover   width       inch            pillow   cover   length       inch            fitted   sheet   depth          fitted   sheet   length          flat   sheet   depth          flat   sheet   length       inch                  box   number      contents      sales   package       sales   package       bedsheet     pillow   cover ,key santosh royal fashion cotton printed king sized double bedsheet royal bedsheet wedding gifting santosh royal fashion cotton printed king sized double bedsheet bedsheet pillow cover multicolor general brand santosh royal fashion machine washable yes type flat material cotton model name gold design royal cotton printed wedding double bedsheet pillow cover model id multicolor size king fabric care machine wash bleach dimension flat sheet width inch fitted sheet width pillow cover width inch pillow cover length inch fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch box number content sale package sale package bedsheet pillow cover,key santosh royal fashion cotton print king size doubl bedsheet royal bedsheet wed gift santosh royal fashion cotton print king size doubl bedsheet bedsheet pillow cover multicolor gener brand santosh royal fashion machin washabl ye type flat materi cotton model name gold design royal cotton print wed doubl bedsheet pillow cover model id multicolor size king fabric care machin wash bleach dimens flat sheet width inch fit sheet width pillow cover width inch pillow cover length inch fit sheet depth fit sheet length flat sheet depth flat sheet length inch box number content sale packag sale packag bedsheet pillow cover,                                                          royal   fashion                      machine   washable                                                                  flat                                            cotton                         name                      gold   design   royal   cotton   printed   wedding         double   bedsheet          pillow   cover                         id                                                                    multicolor                      size                      king                      fabric   care                      machine   wash           bleach                      flat   sheet                             inch                               fitted   sheet                                                   pillow   cover                             inch                               pillow   cover   length                          inch                               fitted   sheet   depth                                                fitted   sheet   length                                                flat   sheet   depth                                                flat   sheet   length                          inch                                                                                                                        bedsheet     pillow   cover   ,royal fashion machine washable flat cotton name gold design royal cotton printed wedding double bedsheet pillow cover id multicolor size king fabric care machine wash bleach flat sheet inch fitted sheet pillow cover inch pillow cover length inch fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch bedsheet pillow cover,royal fashion machin washabl flat cotton name gold design royal cotton print wed doubl bedsheet pillow cover id multicolor size king fabric care machin wash bleach flat sheet inch fit sheet pillow cover inch pillow cover length inch fit sheet depth fit sheet length flat sheet depth flat sheet length inch bedsheet pillow cover
6325b6870c54cd47be6ebfbffa620ec7.jpg,Home Furnishing,Bed Linen,http://www.flipkart.com/jaipur-print-cotton-floral-king-sized-double-bedsheet/p/itmejthnwahrnt7v?pid=BDSEJTHNGWVGWWQU, jaipur   print   cotton   floral   king   sized   double   bedsheet ,jaipur print cotton floral king sized double bedsheet,jaipur print cotton floral king size doubl bedsheet, home   furnishing ,home furnishing,home furnish, bed   linen ,bed linen,bed linen, jaipur   print ,jaipur print,jaipur print, key         jaipur   print   cotton   floral   king   sized   double   bedsheet         cotton jaipur   print   cotton   floral   king   sized   double   bedsheet         bed   sheet       pillow   cover     white                      nice   bed   sheet   made               cotton      give      comfort        bed   sheet      hand   printed        bedsheet   gives   nice   look         room         fast   colour      good   quality   gives      bedsheet   long   life             jaipur   print   cotton   floral   king   sized   double   bedsheet         bed   sheet       pillow   cover     white     general   machine   washable   yes   brand   jaipur   print   type   flat   model   name      material   cotton   thread   count       model   id      fabric   care              bleach   size   king      white   warranty            product         manufacturing   defect         product      exchange                  used               packing   dimensions   flat   sheet   width       inch            fitted   sheet   width          pillow   cover   width       inch            pillow   cover   length       inch            weight          fitted   sheet   depth          fitted   sheet   length          flat   sheet   depth            flat   sheet   length       inch                  box   number      contents      sales   package       sales   package       bed   sheet       pillow   cover ,key jaipur print cotton floral king sized double bedsheet cotton jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white nice bed sheet made cotton give comfort bed sheet hand printed bedsheet give nice look room fast colour good quality give bedsheet long life jaipur print cotton floral king sized double bedsheet bed sheet pillow cover white general machine washable yes brand jaipur print type flat model name material cotton thread count model id fabric care bleach size king white warranty product manufacturing defect product exchange used packing dimension flat sheet width inch fitted sheet width pillow cover width inch pillow cover length inch weight fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch box number content sale package sale package bed sheet pillow cover,key jaipur print cotton floral king size doubl bedsheet cotton jaipur print cotton floral king size doubl bedsheet bed sheet pillow cover white nice bed sheet made cotton give comfort bed sheet hand print bedsheet give nice look room fast colour good qualiti give bedsheet long life jaipur print cotton floral king size doubl bedsheet bed sheet pillow cover white gener machin washabl ye brand jaipur print type flat model name materi cotton thread count model id fabric care bleach size king white warranti product manufactur defect product exchang use pack dimens flat sheet width inch fit sheet width pillow cover width inch pillow cover length inch weight fit sheet depth fit sheet length flat sheet depth flat sheet length inch box number content sale packag sale packag bed sheet pillow cover,                                 machine   washable                                                                  jaipur   print                                            flat                         name                                                                  cotton                      thread   count                                                id                                            fabric   care                                 bleach                      size                      king                                            white                                        manufacturing   defect               exchange                  used               packing                      flat   sheet                             inch                               fitted   sheet                                                   pillow   cover                             inch                               pillow   cover   length                          inch                               weight                                                fitted   sheet   depth                                                fitted   sheet   length                                                flat   sheet   depth                                                  flat   sheet   length                          inch                                                                                                                        bed   sheet       pillow   cover   ,machine washable jaipur print flat name cotton thread count id fabric care bleach size king white manufacturing defect exchange used packing flat sheet inch fitted sheet pillow cover inch pillow cover length inch weight fitted sheet depth fitted sheet length flat sheet depth flat sheet length inch bed sheet pillow cover,machin washabl jaipur print flat name cotton thread count id fabric care bleach size king white manufactur defect exchang use pack flat sheet inch fit sheet pillow cover inch pillow cover length inch weight fit sheet depth fit sheet length flat sheet depth flat sheet length inch bed sheet pillow cover
893aa5ed55f7cff2eccea7758d7a86bd.jpg,Watches,Wrist Watches,http://www.flipkart.com/maserati-time-r8851116001-analog-watch-boys/p/itmeayahfma4r9kp?pid=WATEAYAHJ8CUCAYM, maserati   time   r8851116001   analog   watch        boys ,maserati time r8851116001 analog watch boy,maserati time r8851116001 analog watch boy, watches ,watch,watch, wrist   watches ,wrist watch,wrist watch,,,,    time      analog           boys           time      analog           boys                    india                 great   discounts                                                ,time analog boy time analog boy india great discount,time analog boy time analog boy india great discount,                                 chronograph                                            date   display                           day      date   display                      altimeter                                            barometer                                            alarm   clock                                            compass                                            calendar                                            luminous                                                                  analog                      style   code                                                                     boys                      occasion                      party wedding                          year                            dial   shape                      oval                                               green                      scratch   resistant                                            water   resistant                                            dial                         grey   ,chronograph date display day date display altimeter barometer alarm clock compass calendar luminous analog style code boy occasion party wedding year dial shape oval green scratch resistant water resistant dial grey,chronograph date display day date display altimet baromet alarm clock compass calendar lumin analog style code boy occas parti wed year dial shape oval green scratch resist water resist dial grey
f355cc1ccb08bd0d283ed979b7ee7515.jpg,Watches,Wrist Watches,http://www.flipkart.com/camerii-wm64-elegance-analog-watch-men-boys/p/itme6y6duhfcummh?pid=WATE6Y6D2MZHWGBZ, camerii   wm64   elegance   analog   watch        men     boys ,camerii wm64 elegance analog watch men boy,camerii wm64 eleg analog watch men boy, watches ,watch,watch, wrist   watches ,wrist watch,wrist watch,,,,       elegance   analog           men     boys              elegance   analog           men     boys                    india                 great   discounts                                                ,elegance analog men boy elegance analog men boy india great discount,eleg analog men boy eleg analog men boy india great discount,                                 chronograph                                            date   display                                            altimeter                                            barometer                                            alarm   clock                                            compass                                            calendar                                            luminous                                            mechanism                      quartz                                            analog                      series                      elegance                      style   code                                                                     men     boys                      occasion                      formal                      power   source                      battery   powered                      novelty   feature                         stylish   design                                  diameter                                                                                                thickness                                                    months         manufacturing   defects                           watch     box        card                                               metal                      dial   shape                      round                      box                         metal                                                                     shock   resistance                                            case     bezel                         high   quality      case                      scratch   resistant                                            water   resistant                                            clasp                         buckle                      dial                         black                                               stainless   steel      ,chronograph date display altimeter barometer alarm clock compass calendar luminous mechanism quartz analog series elegance style code men boy occasion formal power source battery powered novelty feature stylish design diameter thickness month manufacturing defect watch box card metal dial shape round box metal shock resistance case bezel high quality case scratch resistant water resistant clasp buckle dial black stainless steel,chronograph date display altimet baromet alarm clock compass calendar lumin mechan quartz analog seri eleg style code men boy occas formal power sourc batteri power novelti featur stylish design diamet thick month manufactur defect watch box card metal dial shape round box metal shock resist case bezel high qualiti case scratch resist water resist clasp buckl dial black stainless steel
dd0e3470a7e6ed76fd69c2da27721041.jpg,Watches,Wrist Watches,http://www.flipkart.com/t-star-uft-tsw-005-bk-br-analog-watch-boys/p/itmecffvcgfw8f9m?pid=WATECFFVGFZPAD3D,    star   uft tsw   bk br   analog   watch        boys ,star uft tsw bk br analog watch boy,star uft tsw bk br analog watch boy, watches ,watch,watch, wrist   watches ,wrist watch,wrist watch,,,,               analog           boys                 whether               way      work      travelling         family        accessories   like   watches           belts   help      add      touch            class                  regular   daily   wear              comes              suave   leather   belts         designed      finished                        rest     whether               way      work      travelling         family        accessories   like   watches           belts   help      add      touch            class                  regular   daily   wear              comes              suave   leather   belts         designed      finished                        rest   ,analog boy whether way work travelling family accessory like watch belt help add touch class regular daily wear come suave leather belt designed finished rest whether way work travelling family accessory like watch belt help add touch class regular daily wear come suave leather belt designed finished rest,analog boy whether way work travel famili accessori like watch belt help add touch class regular daili wear come suav leather belt design finish rest whether way work travel famili accessori like watch belt help add touch class regular daili wear come suav leather belt design finish rest,                                 chronograph                                            altimeter                                            date   display                                            barometer                                            alarm   clock                                            compass                                            calendar                                            luminous                                            weight                                                mechanism                      quartz                                            analog                      style   code                                                 occasion                      casual                                               boys                      novelty   feature                      analog                      power   source                      battery   powered                          months                               box                         cardboard                                                                     dial   shape                      round                                               brown                      shock   resistance                                               design                                               scratch   resistant                                            case     bezel                         stainless   steel   case                      water   resistant                                            water   resistance   depth                                                clasp                         buckle                      dial                         black                                               leather                         watch   ,chronograph altimeter date display barometer alarm clock compass calendar luminous weight mechanism quartz analog style code occasion casual boy novelty feature analog power source battery powered month box cardboard dial shape round brown shock resistance design scratch resistant case bezel stainless steel case water resistant water resistance depth clasp buckle dial black leather watch,chronograph altimet date display baromet alarm clock compass calendar lumin weight mechan quartz analog style code occas casual boy novelti featur analog power sourc batteri power month box cardboard dial shape round brown shock resist design scratch resist case bezel stainless steel case water resist water resist depth clasp buckl dial black leather watch
41384da51732c0b4df3de8f395714fbb.jpg,Watches,Wrist Watches,http://www.flipkart.com/alfajr-wy16b-youth-digital-watch-men-boys/p/itmechfufumwbtnz?pid=WATECHFU4QGFQEJG, alfajr   wy16b   youth   digital   watch        men     boys ,alfajr wy16b youth digital watch men boy,alfajr wy16b youth digit watch men boy, watches ,watch,watch, wrist   watches ,wrist watch,wrist watch,,,, alfajr      youth   digital           men     boys        alfajr      youth   digital           men     boys                    india                  times              around      world             qibla                               daily        great   discounts                                                ,alfajr youth digital men boy alfajr youth digital men boy india time around world qibla daily great discount,alfajr youth digit men boy alfajr youth digit men boy india time around world qibla daili great discount,                                 chronograph                                            date   display                                            altimeter                                            tourbillon                                               functions                                            alarm   clock                                            calendar                                            luminous                                            barometer                                            moonphase                                            compass                                            light                                            gps                                            chronograph   feature                                            diameter                                                weight                                                   dimensions                      case   size                             height                                                                                                thickness                                                mechanism                      quartz                                            digital                      series                                            style   code                                            occasion                      casual     sports                                               men     boys                      novelty   feature                                            power   source                      battery                          year   domestic                         azan   times           cities   around      world     major   cities   around      world      pre programmed         watch              location         programmed   using   latitude     longitude      gmt   information     azan   times      calculated   accurately     alfajr   watch   uses      local   taqweem            widely   used            view      azan   times           cities   around      world     major   cities   around      world      pre programmed         watch              location         programmed   using   latitude     longitude      gmt   information     azan   times      calculated   accurately     alfajr   watch   uses      local   taqweem            widely   used   taqweem   system         city        standard   taqweem         available       prayer        six   prayer   reminder   alarms            set                     azan        prayer   reminder   alarms         change            change      azan   times       qibla   direction     qibla   direction         displayed     relative         north     sun      moon       also                 age         moon       hijri      gregorian        gregorian      hijri   calendar         displayed        hijri   calendar         gregorian   date         based            moon                qur            feature      used                  name                        reading      qur        daily                    prayer   alarms        daily   alarms      available          features        display     arabic            time         displayed          hours           format          hours   format      display         minutes         current   azan               minutes        watch         time      battery      indicator                                               black                      shock   resistance                                            scratch   resistant                                            water   resistant                                               body   features                      plastic      round   case     rubber        crystal            blue      back   light     water   resistant            case   size                             dial                         black                      box                         plastic                                                                     dial   shape                      round                         design                      mesh                      case     bezel                         plastic                      water   resistance   depth                                                clasp                         buckle                                               rubber                         watch   ,chronograph date display altimeter tourbillon function alarm clock calendar luminous barometer moonphase compass light gps chronograph feature diameter weight dimension case size height thickness mechanism quartz digital series style code occasion casual sport men boy novelty feature power source battery year domestic azan time city around world major city around world pre programmed watch location programmed using latitude longitude gmt information azan time calculated accurately alfajr watch us local taqweem widely used view azan time city around world major city around world pre programmed watch location programmed using latitude longitude gmt information azan time calculated accurately alfajr watch us local taqweem widely used taqweem system city standard taqweem available prayer six prayer reminder alarm set azan prayer reminder alarm change change azan time qibla direction qibla direction displayed relative north sun moon also age moon hijri gregorian gregorian hijri calendar displayed hijri calendar gregorian date based moon qur feature used name reading qur daily prayer alarm daily alarm available feature display arabic time displayed hour format hour format display minute current azan minute watch time battery indicator black shock resistance scratch resistant water resistant body feature plastic round case rubber crystal blue back light water resistant case size dial black box plastic dial shape round design mesh case bezel plastic water resistance depth clasp buckle rubber watch,chronograph date display altimet tourbillon function alarm clock calendar lumin baromet moonphas compass light gp chronograph featur diamet weight dimens case size height thick mechan quartz digit seri style code occas casual sport men boy novelti featur power sourc batteri year domest azan time citi around world major citi around world pre program watch locat program use latitud longitud gmt inform azan time calcul accur alfajr watch use local taqweem wide use view azan time citi around world major citi around world pre program watch locat program use latitud longitud gmt inform azan time calcul accur alfajr watch use local taqweem wide use taqweem system citi standard taqweem avail prayer six prayer remind alarm set azan prayer remind alarm chang chang azan time qibla direct qibla direct display rel north sun moon also age moon hijri gregorian gregorian hijri calendar display hijri calendar gregorian date base moon qur featur use name read qur daili prayer alarm daili alarm avail featur display arab time display hour format hour format display minut current azan minut watch time batteri indic black shock resist scratch resist water resist bodi featur plastic round case rubber crystal blue back light water resist case size dial black box plastic dial shape round design mesh case bezel plastic water resist depth clasp buckl rubber watch
710ed5f2393a4b9e8823aa0029f71f93.jpg,Watches,Wrist Watches,http://www.flipkart.com/tag-heuer-cau1116-ba0858-formula-1-analog-watch-boys-men/p/itmea6ug29cnhkdh?pid=WATEA6UGFGKZKDJC, tag   heuer   cau1116 ba0858   formula       analog   watch        boys     men ,tag heuer cau1116 ba0858 formula analog watch boy men,tag heuer cau1116 ba0858 formula analog watch boy men, watches ,watch,watch, wrist   watches ,wrist watch,wrist watch,,,,                  analog           boys     men                         analog           boys     men                     india                made     quartz   movement     scratch   resistant        crystal   glass     water   resistant               feature   chronograph     great   discounts                                                ,analog boy men analog boy men india made quartz movement scratch resistant crystal glass water resistant feature chronograph great discount,analog boy men analog boy men india made quartz movement scratch resist crystal glass water resist featur chronograph great discount,                                 chronograph                                            altimeter                                            date   display                                            barometer                                            alarm   clock                                            compass                                            calendar                                            luminous                                            mechanism                      quartz                                            analog                      series                                                style   code                                             occasion                      formal     casual                                               boys     men                      novelty   feature                      scratch   resistant                             years                            quartz   movement                  one   chronograph                                     time                 high                                    hours         time                          second              view         quartz   movement                  one   chronograph                                     time                 high                                    hours         time                          second            chronograph               black   dial                                function                     watch              speed               relative                                bezel      dive                                   water   resistant   capacity                                     dial   shape                      round                                               bracelet                                               steel                      scratch   resistant                                            water   resistant                                            water   resistance   depth                                                clasp                         clasp                         body   features                      bezel black            steel                      dial                         black                                               metal                             watch   ,chronograph altimeter date display barometer alarm clock compass calendar luminous mechanism quartz analog series style code occasion formal casual boy men novelty feature scratch resistant year quartz movement one chronograph time high hour time second view quartz movement one chronograph time high hour time second chronograph black dial function watch speed relative bezel dive water resistant capacity dial shape round bracelet steel scratch resistant water resistant water resistance depth clasp clasp body feature bezel black steel dial black metal watch,chronograph altimet date display baromet alarm clock compass calendar lumin mechan quartz analog seri style code occas formal casual boy men novelti featur scratch resist year quartz movement one chronograph time high hour time second view quartz movement one chronograph time high hour time second chronograph black dial function watch speed rel bezel dive water resist capac dial shape round bracelet steel scratch resist water resist water resist depth clasp clasp bodi featur bezel black steel dial black metal watch
